case_index,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
1.0,42.155921619269066,-251.36272051895503,145.65574048219787,-145.65574048219787,254.87318217941302,-21.4168248930946,-30.710001738043502,-25.653671400505118,-613.9017059467733,-55.83371239481494,-23.18312181159854,-592.4848810536787,-25.123710656771436,2.4705495889065787,46.84749281618726,-279.3371083218465,0.04011195464670436,283.23825248149956,30.70972701741764,-21.41721879787203,0.0007008922331408485,37.440413920257804,55.826592774955664,-613.9023142119452,0.18999634798788634,616.4354466249022,25.124441065823454,-592.4848152919106,0.17583476230598194,593.0172795883435,102.67406771548244,-893.2392670199191,0.40420925784268036,899.1208774839597,71.97192188573038,-871.8217782984985,0.38262665857935474,874.7875002853448
2.0,42.155921619269066,-251.36272051895503,145.65574048219787,-145.65574048219787,254.87318217941302,-21.4168248930946,-30.710001738043502,-25.653671400505118,-613.9017059467733,-55.83371239481494,-23.18312181159854,-592.4848810536787,-25.123710656771436,2.4705495889065787,46.84749281618726,-279.3371083218465,0.04011195464670436,283.23825248149956,30.70972701741764,-21.41721879787203,0.0007008922331408485,37.440413920257804,55.826592774955664,-613.9023142119452,0.18999634798788634,616.4354466249022,25.124441065823454,-592.4848152919106,0.17583476230598194,593.0172795883435,102.67406771548244,-893.2392670199191,0.40420925784268036,899.1208774839597,71.97192188573038,-871.8217782984985,0.38262665857935474,874.7875002853448
3.0,41.09074689040426,-255.96916020731442,135.66725993996442,-135.66725993996442,259.2463316177281,-22.12851723015774,-31.3483651552815,-26.103614800376818,-622.6342520676553,-51.90833689994179,-23.58329584239982,-600.5057348374976,-20.559971744660288,2.520318957976997,45.66326688384847,-284.45304505552076,0.04149933530150918,288.0948954491622,31.348076326875972,-22.128926375049495,0.0007361956599893915,38.37175096223787,51.90099163425933,-622.634823585351,0.19518393723494398,624.7942353077376,20.56072724048249,-600.5056727946042,0.18051491956772026,600.8575592960096,97.56424100724539,-907.0877058364688,0.41616353019247043,912.3195093841784,66.22398275006194,-884.9585658544825,0.3937687171884363,887.4329716494102
4.0,40.90509355592076,-260.6651014502859,149.79340198806312,-149.79340198806312,263.8551151539543,-22.542893930221908,-31.97391561116092,-26.484420232009143,-633.2473130896688,-52.78241587802768,-23.987206077435985,-610.7044191594468,-20.80850026686676,2.4972141545731574,45.45766784016761,-289.6760909017793,0.04298931954860308,293.2211404479611,31.97361708151467,-22.543317327165145,0.0007652566358373747,39.121775846561356,52.77481740417214,-633.247903463972,0.2018940646886236,635.4432221635225,20.809261501723498,-610.7043551717258,0.18669643475632824,611.0587817795932,98.23246698923177,-922.9238228534747,0.4307190929475624,928.1368435533967,66.26691755616191,-900.3802859387256,0.4075380648504989,902.8155756684178
5.0,41.98840542812832,-260.3920383990044,208.02051301416213,-208.02051301416213,263.75564420877413,-21.828533135703765,-32.132062187884,-26.309840905014426,-635.9246326610446,-59.477617469383404,-23.90295048826374,-614.0960995253408,-27.3455552814994,2.4068904167506844,46.66456756831973,-289.39136283519724,0.0429624723574662,293.12956648886694,32.13177502349055,-21.828955822400832,0.0007544771474243817,38.84526069492311,59.470013182612725,-635.9253002094636,0.20396885569429202,638.6999842762144,27.346292590318182,-614.0960279419626,0.18893089348548386,614.7046048733741,106.13456092431478,-925.3164901895972,0.43373767000254304,931.3834613301827,74.010846911423,-903.487229061817,0.41088347368933853,906.513529153507
6.0,39.9937362089986,-255.3082722442923,201.81584500278404,-201.81584500278404,258.42177310033424,-21.054775061202236,-31.167779525276273,-25.75567486928776,-624.8816498555243,-52.90162152959965,-23.31409450562205,-603.8268747943221,-21.733842004323378,2.4415803636657074,44.447449732455105,-283.7394720402463,0.04124183283771288,287.1996932125744,31.16750837451212,-21.055176427506098,0.0007073669427981599,37.61295033188292,52.89433378264066,-624.882225517141,0.1966378224693699,627.1169000382341,21.734577827770345,-603.8268115204851,0.1825396217514097,604.2178499385357,97.34176602718388,-908.621534319201,0.41753434310010107,913.8208314773033,66.18201615735924,-887.5661306370457,0.39607692614573864,890.0301655093889
7.0,37.97804129135329,-252.7836859371746,181.06704726505995,-181.06704726505995,255.62066328118283,-21.198678950895555,-30.245228117564693,-25.48780139477458,-618.3101213537157,-46.841578296152875,-23.02842040080577,-597.1114424028201,-16.59635017858818,2.459380993968807,42.206313257142405,-280.9272693425764,0.04035075262809329,284.08010056854823,30.244957953557794,-21.19906438595891,0.0006820788378547604,36.93450706930459,46.834455937756495,-618.3106210192966,0.1922507636420434,620.0818416372582,16.59708345383781,-597.1113864838754,0.17840875143892987,597.3420050924509,89.04075355248497,-899.2377323864711,0.408278461039302,903.6352998531858,58.80338680582219,-878.0385079249338,0.3872048049968768,880.0053748124947
8.0,38.74764479405712,-254.7715303080622,168.13594419318179,-168.13594419318179,257.70120805420817,-21.99596565333195,-30.203525966499,-25.745535822352394,-621.4020540937781,-47.662131692050025,-23.257050997926854,-599.4060884404462,-17.458605725551024,2.488484824425541,43.06098144869463,-283.1323606521145,0.041009091789057095,286.38816625650554,30.203242807166287,-21.99635444877416,0.0006980377387222347,37.364093527138444,47.65490261292939,-621.4025680513676,0.19420608954323626,623.2271987998296,17.459350485657495,-599.4060307934393,0.17979622546349106,599.6602527022502,90.71586791499466,-904.5347677042217,0.4132063426975918,909.0723374282716,60.520321617873265,-882.53824100539,0.39126830464475404,884.6109066508386
9.0,41.14896910323296,-255.18751863273792,157.8369312369432,-157.8369312369432,258.48386279261763,-22.350735889631324,-29.966258807689883,-25.892948542605154,-621.9107308425009,-52.846138714812696,-23.386735847452655,-599.5599949528696,-22.879879907122813,2.506212695152499,45.72909460609478,-283.5914103358232,0.04125761987605614,287.25465724641333,29.965969434126812,-22.35112383933681,0.0006987660450263888,37.38358009886684,52.83886304806724,-621.9113083559552,0.19478282942131386,624.1519213374485,22.880629846735346,-599.5599303081531,0.17999783274991188,599.9963610333822,98.56794003169577,-905.5025568015304,0.4148253457403328,910.8515352000022,68.60971271533093,-883.1511895576946,0.392331734988538,885.8122353501623
10.0,42.69151122571202,-248.5751683707349,147.42928573241443,-147.42928573241443,252.21455045511212,-21.48053317796439,-28.916347218910232,-25.326875402242877,-608.3095213398337,-57.11859921575524,-22.83937828906346,-586.8289881618693,-28.202251996845007,2.4874971131794155,47.44278222700177,-276.2398716152824,0.03927964287164798,280.28429184573724,28.91607519215655,-21.480899351404425,0.0006487841375246717,36.02177732238678,57.111648951610846,-608.3101357162798,0.18665149825736194,610.9852384969138,28.202980242103326,-586.8289193260852,0.17258180917689714,587.5062456280422,104.5544133260467,-884.5498562955215,0.3966801154220434,890.7076252162557,75.6457501052939,-863.0686498783491,0.3753049573340661,866.3773853880472
