,centerline_angle_magnitude_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_magnitude_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_magnitude_urad
mean,206.1736659259908,23.880254975042966,475.4315378578493,460.4316377440943,680.9646841363078,665.3267983329009
min,194.43260878760307,21.533843441658856,451.97890267953227,437.9340757778507,645.700789205411,631.0340892196014
max,216.2985999132654,25.72172405826264,494.8652775924836,479.2176369617496,710.0306352723513,693.7133135890379
std,6.537659955629877,1.1900014606379252,12.883044330238171,12.334442647406357,19.445544884188486,18.867411668727936
